stadium,team,league,country,lat,lon
Joan C. Edwards Stadium,Marshall Thundering Herd,,USA,38.368500,-82.424500
Jockey Club Monterrico,Horse Racing-use,,PER,40.798800,-84.131900
Joe Aillet Stadium,Louisiana Tech Bulldogs,,USA,32.515100,-92.626200
Johannesburg Stadium,Jomo Cosmos FC,,ZAF,-26.205200,28.049800
Jones AT&T Stadium,Texas Tech Red Raiders,,USA,33.590300,-101.851900
Jordan Hare Stadium,Auburn Tigers,,USA,47.310100,-122.204200
José do Rego Maciel,Santa Cruz FC,,BRA,-8.050000,-34.900000
José Luis Meiszner,Quilmes AC,,ARG,-34.724200,-58.252600
José Maria Minella,CA Aldosivi,,ARG,-38.002300,-57.557500
José Pinheiro Borda,SC Internacional,,BRA,-30.033300,-51.200000
Juventus Arena,Juventus FC,,ITA,45.050000,7.666700
Kadir Has Stadi,Kayserispor,,TUR,38.732200,35.485300
Kamuzu Stadium,Big Bullets,,MWI,-15.783300,35.000000
Kansas Speedway,Race-use,,USA,39.106800,-94.566000
Kaohsiung Stadium,Taipower FC,,TWN,22.633300,120.350000
Karachi National Stadium,Karachi CA,,PAK,24.905600,67.082200
Kauffman Stadium,Kansas City Royals,,USA,39.106800,-94.566000
Kenan Stadium,N. Carolina Tar Heels,,USA,35.966600,-79.041000
Kensington Oval,Barbados Cricket,,BRB,13.100000,-59.616700
Kentucky Speedway,Race-use,,USA,41.054400,-74.617100
Khalifa Int'l Stadium,National Stadium,,QAT,25.286700,51.533300
Khimik Stadion,Kuzbass Kemerovo,,RUS,55.333300,86.083300
King Abdul Aziz,Al Wahda,,SAU,21.426700,39.826100
King Fahd Int'l Stadium,Al Hilal/Shabab,,SAU,24.653700,46.715200
Kinnick Stadium,Iowa Hawkeyes,,USA,41.669500,-91.513300
Koning Boudewijn Stadion,National Stadium,,BEL,50.833300,4.333300
Koshien Stadium,Hanshin Tigers,,JPN,34.716700,135.333300
Kuban Stadion,FK Kuban Krasnodar,,RUS,45.048800,38.972500
Kyle Field,Texas A&M Aggies,,USA,30.613100,-96.321700
Kyoto Racecourse,Horse-Racing use,,JPN,35.021400,135.755600
L.A. Memorial Coliseum,USC Trojans,,USA,34.039600,-118.266100
L'Estadi (Camp Nou),FC Barcelona,,ESP,41.398400,2.174100
Ladd Peebles Stadium,South Alabama Jaguars,,USA,30.658600,-88.353500
Lambeau Field,Green Bay Packers,,USA,44.488900,-88.070400
Lane Stadium,Virginia Tech Hokies,,USA,37.266900,-80.432500
Las Vegas Motor Speedway,Race-use,,USA,36.110000,-115.211800
LaVell Edwards Stadium,BYU Cougars,,USA,40.339300,-111.570900
Legion Field Stadium,UAB Blazers,,USA,33.446800,-86.740400
Léopold Sédar Senghor,National Stadium,,SEN,14.670800,-17.438100
Levy Mwanawasa Stadium,National Stadium,,ZMB,-12.966700,28.633300
Libertadores de América,CA Independiente,,ARG,-29.117600,-59.658300
Liberty Bowl,Memphis Tigers,,USA,35.185000,-90.093600
Liberty Stadium,Football-use,,NGA,7.387800,3.896400
Lincoln Financial Field,Philadelphia Eagles,,USA,39.952400,-75.165300
Lokomotiv Stadion,FK Lokomotiv Moskva,,RUS,46.717200,-116.917900
LP Field,Titans/State Tigers,,USA,36.147300,-86.777000
Lucas Oil Stadium,Indianapolis Colts,,USA,39.793000,-86.285300
Luis Pirata Fuente,Tiburones Rojos Veracruz,,MEX,19.200000,-96.133300
Luzhniki Stadion,Spartak/CSKA Moskva,,RUS,46.717200,-116.917900
Lysgårdsbakkene,Ski-jumping use,,NOR,61.133300,10.500000
M&T Bank Stadium,Baltimore Ravens,,USA,39.290400,-76.612200
MA Chidambaram Stadium,Chennai Super Kings,,IND,13.083300,80.283300
Mackay Stadium,Nevada Wolf Pack,,USA,39.489600,-119.749200
Madya Stadium,Multi-use,,IDN,-6.174400,106.829400
Malone Stadium,Louisiana-Monroe Indians,,USA,41.950500,-83.445700
Malvinas Argentinas,Godoy Cruz,,ARG,-32.890800,-68.827200
Marlins Park,Florida Marlins,,USA,25.938800,-80.214400
Martin Stadium,WSU Cougars,,USA,46.732200,-117.245500
Martinsville Speedway,Race-use,,USA,36.726600,-79.866700
Mazda Stadium,Hiroshima Toyo Carp,,JPN,34.396300,132.459400
Mbombela Stadium,Mpumalanga Black Aces,,ZAF,-25.474500,30.970300
McHale Park,Mayo County,,IRL,53.850000,-9.300000
McMahon Stadium,Calgary Stampeders,,CAN,51.083300,-114.083300
Melbourne Cricket Ground,Multi-use,,AUS,28.078200,-80.753400
Memorial Stadium,California Golden Bears,,USA,37.864600,-122.287700
Mercedes-Benz Arena,VfB Stuttgart,,DEU,34.439600,-91.529800
Mercedes-Benz Superdome,New Orleans Saints,,USA,29.958900,-90.156800
MetLife Stadium,New York Giants/Jets,,USA,40.813200,-74.073800
Metropolitano de Lara,CD Lara,,VEN,10.073900,-69.322800
Miami Speedway,Race-use,,USA,25.490300,-80.418700
Michie Stadium,Army Black Knights,,USA,33.652100,-88.695300
Michigan Int'l Speedway,Race-use,,USA,40.698100,-73.957100
Michigan Stadium,Michigan Wolverines,,USA,42.273400,-83.713300
Millennium Stadium,National Stadium,,GBR,33.645700,-86.933600
Miller Park,Milwaukee Brewers,,USA,43.043400,-87.894500
Minute Maid Park,Houston Astros,,USA,29.868800,-95.538000
Misaki Park Stadium,Vissel Kobe,,JPN,34.691300,135.183000
Mohamed Bin Zayed Stadium,Al Jazira,,ARE,24.466700,54.366700
Molineux Stadium,Wolverhampton Wanderers,,GBR,52.583300,-2.133300
Monumental David Arellano,CSD Colo Colo,,CHL,-33.450000,-70.666700
Monumental UNSA,IDUNSA,,PER,-16.398900,-71.535000
Mosaic Stadium,Saskatchewan Roughriders,,CAN,50.450000,-104.616700
Moses Mabhida Stadium,AmaZulu FC,,ZAF,-29.857900,31.029200
Mountaineer Field,West Virginia Mountaineers,,USA,37.167000,-86.749700
Mt Smart Stadium,N.Z. Warriors RLC,,NZL,-36.866700,174.766700
Mubarak Stadium,El Qanah,,EGY,29.966700,32.550000
Mühlenkopfschanze,Ski-jumping-use,,DEU,51.300000,8.616700
Municipal de Aveiro,Beira-Mar,,PRT,40.644300,-8.645500
Municipal de Braga,Sporting de Braga,,PRT,41.550300,-8.420100
Murrayfield,Edinburgh Rugby,,GBR,39.384700,-85.902300
My Dinh Stadium,National Stadium,,VNM,21.033300,105.850000
Nagai Stadium,Cerezo Osaka,,JPN,34.686400,135.520000
Nagoya Dome,Chunichi Dragons,,JPN,35.180200,136.906700
Nakayama Racecourse,Horse-Racing use,,JPN,35.604700,140.123300
Namboole Stadium,National Stadium,,UGA,0.315600,32.565600
Nashville Superspeedway,Race-use,,USA,40.642100,-74.820000
National Arena,National Team,,ROM,44.433300,26.100000
National Complex,National Stadium,,LBR,34.153900,-117.991900
National Olympic,Khemera FC,,KHM,11.550000,104.916700
National Sports Stadium,National Stadium,,ZWE,-17.817800,31.044700
National Stadium,National Stadium,,SLE,8.490000,-13.234200
Nationals Ballpark,Washington Nationals,,USA,38.874900,-77.032500
Nazareth Speedway,Race-use,,USA,40.753000,-75.306200
Negeri Pulau Pinang,Penang FA,,MYS,5.411200,100.335400
Nelson Mandela Stadium,Mighty Elephants,,ZAF,-33.918000,25.570100
Neuer Tivoli,Alemannia Aachen,,DEU,50.770800,6.105300
Newlands Stadium,Stormers Super 14,,ZAF,-33.925800,18.423200
Newmarket Racecourse,Horse Racing use,,GBR,44.058000,-79.452600
Neyland Stadium,Tennessee Volunteers,,USA,36.058200,-83.914700
Niigata Racecourse,Horse-Racing use,,JPN,37.902200,139.023600
Niigata Stadium,Albirex Niigata,,JPN,37.902200,139.023600
Nippert Stadium,Cincinnati Bearcats,,USA,39.166800,-84.538200
